Name,State,Abbv,Current Position,Descent,Quote/Position/Action on Immigration reform,Photo
,,,,,,
John Boehner,Ohio,OH,US House of Representatives,Boehner is of German descent,,
Ted Cruz,Florida,FL,US House of Representatives,Cruz was born in Canada and immigrated to USA in _____,,
Michelle Bachmann,Minnesota,MN,US House of Representatives,Bachmann is of Norweigan descent,,
Mark Krikorian,DC,DC,"Executive director of the Center for Immigration Studies, a think-tank in Maryland that promotes stricter immigration control and enforcement",Krikorian was born in Armenia and immigrated to USA in ____,,
Susana Martinez,New Mexico,NM,Governor of New Mexico,Martinez's grandparents immigrated from Mexico,,
George Borjas,Massachusetts,MA,Professor of Economics and Social Policy at the Harvard Kennedy School,Borjas was born in Cuba and immigrated to USA,,
Joe Arpaio,Arizona,AZ,"Sheriff of Maricopa County, Arizona",Arpaio's parents emigrated from Italy,,
Darrell Issa,California,CA,US House of Representatives,Grandparents immigrated from Lebanon,,
Peter Brimelow,Connecticut,CT,Writer,Brimelow was born in England and immigrated to USA in ____,,
Phyllis Schafly,Missouri,MO,Activist,Great-Grandfather immigrated from England,,
Tom Tancredo,Colorado,CO,"Formerly in US House of Representatives, Colorado Gubernatorial Candidate 2014",All 4 grandparents immigrated from Italy,,
John Tanton,Michigan,MI,Activist,Father immigrated from Canada and Grandfather immigrated from Germany,,
Bobby Jindil,Louisiana,LA,Governor of Louisiana,Parents immigrated from India,,
Virginia Abernethy,Tennessee,TN,Professor Emerita at Vanderbilt University best known for work on population demography and for being a white separatist,Abernathy was born in Cuba and immigrated to USA in ____,,
Steven Palazzo,Mississippi,MS,US House of Representatives,Palazzo is of Italian descent,,
Lou Barletta,Pennsylvania,PA,US House of Representatives,Barletta is of Italian descent,,
Jeff Sessions,Alabama,AL,US Senate,"Sessions is of English, Scottish, and Irish descent",,
Rick Santelli,Illinois,IL,CNBC Commentator,Santelli is of Italian descent,,
Brian Sandoval,Nevada,NV,Governor of Nevada,Sandoval is of Mexican descent,,
Lisa Murkowski,Alaska,AK,US Senate,"Murkowski is of Polish, Irish, and French Canadian descent",,
John Thune,South Dakota,SD,US Senate,,,
,North Dakota,ND,,,,
Sam Brownback,Kansas,KS,Governor of Kansas,Brownback is of German descent,,
John Barrasso,Wyoming,WY,US Senate,,,
John Derbyshire,New York,NY,Writer,Derbyshire immigrated from England and his wife immigrated from China,,
Virginia Foxx (palmeri),North Carolina,NC,,D,,
Bob Goodlatte,Virginia,VA,,D,,
Michael Burgess,Texas,TX,,D,,
,Georgia,GA,,D,,
,Indiana,IN,,D,,
,Arkansas,AR,,D,,
,Rhode Island,RI,,D,,
,South Carolina,SC,,D,,
,Hawaii,HI,,D,,
,Washington,WA,,D,,
,Oregon,OR,,D,,
,Idaho,ID,,D,,
,Montana,MT,,D,,
,Kentucky,KY,,,,
Mark Krikorian,Maryland,MD,"Executive director of the Center for Immigration Studies, a think-tank that promotes stricter immigration control and enforcement",Krikorian was born in Armenia and immigrated to USA in ____,,
,Delaware,DE,,,,
,New Jersey,NJ,,,,
,Oklahoma,OK,,,,
,Nebraska,NE,,,,
,Utah,UT,,,,
,W Virginia,WV,,,,
,Maine,ME,,,,
,Vermont,VT,,,,
,New Hampshire,NH,,,,
,Wisconsin,WI,,,,
Steven King,Iowa,IA,US House of Representatives,,,
