Name,State,Abbv,Current Position,Descent
,,,,
John Boehner,Ohio,OH,US House of Representatives,Boehner is of German descent
Ted Cruz,Florida,FL,US House of Representatives,Cruz was born in Canada and immigrated to USA
Michelle Bachmann,Minnesota,MN,US House of Representatives,Bachmann is of Norweigan descent
Mark Krikorian,District of Columbia,DC,"Executive director of the Center for Immigration Studies, a think-tank in Maryland that promotes stricter immigration control and enforcement",Krikorian was born in Armenia and immigrated to USA
Susana Martinez,New Mexico,NM,Governor of New Mexico,Martinez's grandparents immigrated from Mexico
George Borjas,Massachusetts,MA,Professor of Economics and Social Policy at the Harvard Kennedy School,Borjas was born in Cuba and immigrated to USA
Joe Arpaio,Arizona,AZ,"Sheriff of Maricopa County, Arizona",Arpaio's parents emigrated from Italy
Buck McKeon,California,CA,Former U.S House of Representatives; Businessman,Irish Descent
Peter Brimelow,Connecticut,CT,Writer,Brimelow was born in England and immigrated to USA 
Phyllis Schafly,Missouri,MO,Activist,Great-Grandfather immigrated from England
Tom Tancredo,Colorado,CO,"Formerly in US House of Representatives, Colorado Gubernatorial Candidate 2014",All 4 grandparents immigrated from Italy
John Tanton,Michigan,MI,Retired Doctor; Environmental Activist,Father immigrated from Canada and Grandfather immigrated from Germany
Bobby Jindal,Louisiana,LA,Governor of Louisiana,Parents immigrated from India
Virginia Abernethy,Tennessee,TN,Professor Emerita at Vanderbilt University best known for work on population demography and for being a white separatist,Abernathy was born in Cuba and immigrated to USA
Steven Palazzo,Mississippi,MS,US House of Representatives,Palazzo is of Italian descent
Lou Barletta,Pennsylvania,PA,US House of Representatives,Barletta is of Italian descent
Jeff Sessions,Alabama,AL,US Senate,"Sessions is of English, Scottish, and Irish descent"
Rick Santelli,Illinois,IL,CNBC Commentator,Santelli is of Italian descent
Brian Sandoval,Nevada,NV,Governor of Nevada,Sandoval is of Mexican descent
Lisa Murkowski,Alaska,AK,US Senate,"Murkowski is of Polish, Irish, and French Canadian descent"
John Thune,South Dakota,SD,US Senate,
,North Dakota,ND,,
Sam Brownback,Kansas,KS,Governor of Kansas,Brownback is of German descent
John Barrasso,Wyoming,WY,US Senate,
Peter King,New York,NY,US House of Representatives,King is of Irish and Welsh descent
Virginia Foxx (palmeri),North Carolina,NC,Congresswoman - US House of Representatives,Foxx is the granddaughter of Italian immigrants
Bob Goodlatte,Virginia,VA,US House of Representatives,Goodlatte's Maternal Grandfather from Latvia
Michael Burgess,Texas,TX,US House of Representatives,Burgess' Paternal family from Nova Scotia
Johnny Isakson,Georgia,GA,Senator,"Isakson's paternal grandparents were of Swedish descent, and his paternal grandfather was born in …stersund"
Dan Coats,Indiana,IN,Senator,"Coats' father was of English and German descent, and his maternal grandparents immigrated from Sweden."
,Arkansas,AR,,
,Rhode Island,RI,,
Nikki Haley,South Carolina,SC,Governor of South Carolina,Haley was born Nimrata Nikki Randhawa and her parents were both immigrants from India
Charles Djou,Hawaii,HI,"Former member of the U.S. House of Representatives
from Hawaii's 1st district",Born to a Chinese-American father and a Thai-American mother
Jaime Herrera Beutler,Washington,WA,U.S. Representative for Washington's 3rd congressional district,Herrera-Beutler's great-grandparents on her father's side immigrated from Mexico
Elizabeth Van Staaveren,Oregon,OR,Founder of nativist group Oregonians for Immigration Reform (OFIR) and primary contributor to racist group ALIPAC,Last name strongly implies Dutch heritage
Jim Risch,Idaho,ID,Senator,"Risch's father was of German descent, and his mother was of Irish, Scottish, and English ancestry."
Jon Tester,Montana,MT,Senator,Tester's father was of English descent and his mother of Swedish ancestry
Mitch McConnell,Kentucky,KY,Senator and Senate Majority Leader,"McConnell is married to Elaine Chao, who was born in Taiwan to Chinese parents and was the former Secretary of Labor under George W. Bush."
Laura Ingraham,Maryland,MD,Conservative radio talk show host based in Washington DC,Ingram's maternal grandparents were Polish immigrants
,Delaware,DE,,
Rodney Frelinghuysen,New Jersey,NJ,U.S. Representative for New Jersey's 11th congressional district,Frelinghuysen is of Dutch descent
Randy Terrill,Oklahoma,OK,Oklahoma state Representative and author of HB1804,Terrill is of English/Irish descent
,Nebraska,NE,,
Mia Love,Utah,UT,U.S. Representative from Utah's 4th congressional district,"Both of Love's parents emigrated from Haiti in 1973
"
Alex Mooney,W Virginia,WV,U.S. Representative for West Virginia's 2nd congressional district,Mooney's mother was a Cuban refugee and his father is of Irish descent
Susan Collins,Maine,ME,Senator,Collins has Irish and English ancestry
,Vermont,VT,,
Frank Guinta,New Hampshire,NH,U.S. House of Representatives from New Hampshire's 1st district,Guinta is of Italian descent
Ron Johnson,Wisconsin,WI,Senator,Johnson is of Norwegian and German descent
Steven King,Iowa,IA,US House of Representatives,
